"zip_code_served","facility_type","facility_zip_code"
"81329","scf",""
"81330","scf",""
"81331","scf",""
"81332","scf",""
"81334","scf",""
"81335","scf",""
"82901","scf",""
"82902","scf",""
"82922","scf",""
"82923","scf",""
"82925","scf",""
"82929","scf",""
"82930","scf",""
"82931","scf",""
"82932","scf",""
"82933","scf",""
"82934","scf",""
"82935","scf",""
"82936","scf",""
"82937","scf",""
"82938","scf",""
"82939","scf",""
"82941","scf",""
"82942","scf",""
"82943","scf",""
"82944","scf",""
"82945","scf",""
"83001","scf",""
"83002","scf",""
"83011","scf",""
"83012","scf",""
"83013","scf",""
"83014","scf",""
"83025","scf",""
"83101","scf",""
"83110","scf",""
"83111","scf",""
"83112","scf",""
"83113","scf",""
"83114","scf",""
"83115","scf",""
"83116","scf",""
"83118","scf",""
"83119","scf",""
"83120","scf",""
"83121","scf",""
"83122","scf",""
"83123","scf",""
"83124","scf",""
"83126","scf",""
"83127","scf",""
"83128","scf",""
"00685","ddu",""
"00692","ddu",""
"00694","ddu",""
"00737","ddu",""
"00792","ddu",""
"00960","ddu",""
"00984","ddu",""
"01083","ddu",""
"01571","ddu",""
"01612","ddu",""
"01971","ddu",""
"02667","ddu",""
"03063","ddu",""
"03215","ddu",""
"03274","ddu",""
"03276","ddu",""
"03303","ddu",""
"03307","ddu",""
"03431","ddu",""
"03442","ddu",""
"03464","ddu",""
"03589","ddu",""
"03607","ddu",""
"03802","ddu",""
"03816","ddu",""
"03832","ddu",""
"03843","ddu",""
"03854","ddu",""
"03860","ddu",""
"03868","ddu",""
"04011","ddu",""
"04043","ddu",""
"04055","ddu",""
"04101","ddu",""
"04102","ddu",""
"04103","ddu",""
"04210","ddu",""
"04402","ddu",""
"04847","ddu",""
"05454","ddu",""
"05465","ddu",""
"05640","ddu",""
"05657","ddu",""
"05662","ddu",""
"05666","ddu",""
"05701","ddu",""
"05766","ddu",""
"05839","ddu",""
"05874","ddu",""
"07727","ddu",""
"10521","ddu",""
"10523","ddu",""
"10553","ddu",""
"10566","ddu",""
"10602","ddu",""
"10910","ddu",""
"10941","ddu",""
"10954","ddu",""
"10965","ddu",""
"10997","ddu",""
"11732","ddu",""
"12402","ddu",""
"12422","ddu",""
"12424","ddu",""
"12533","ddu",""
"12550","ddu",""
"12552","ddu",""
"12603","ddu",""
"12771","ddu",""
"12777","ddu",""
"12785","ddu",""
"13022","ddu",""
"13041","ddu",""
"14580","ddu",""
"15730","ddu",""
"15739","ddu",""
"15801","ddu",""
"16001","ddu",""
"16127","ddu",""
"16134","ddu",""
"16146","ddu",""
"16645","ddu",""
"16805","ddu",""
"16823","ddu",""
"18453","ddu",""
"20057","ddu",""
"24541","ddu",""
"25402","ddu",""
"25410","ddu",""
"26502","ddu",""
"26507","ddu",""
"26555","ddu",""
"28147","ddu",""
"28207","ddu",""
"28212","ddu",""
"28301","ddu",""
"28303","ddu",""
"28407","ddu",""
"28445","ddu",""
"28461","ddu",""
"29033","ddu",""
"29102","ddu",""
"29150","ddu",""
"29340","ddu",""
"29678","ddu",""
"29708","ddu",""
"29710","ddu",""
"30909","ddu",""
"31297","ddu",""
"32725","ddu",""
"32815","ddu",""
"33060","ddu",""
"33081","ddu",""
"33771","ddu",""
"33773","ddu",""
"33908","ddu",""
"33910","ddu",""
"36577","ddu",""
"37065","ddu",""
"37314","ddu",""
"37614","ddu",""
"37617","ddu",""
"37645","ddu",""
"37707","ddu",""
"37733","ddu",""
"37814","ddu",""
"37920","ddu",""
"37921","ddu",""
"38558","ddu",""
"38630","ddu",""
"38649","ddu",""
"38669","ddu",""
"38731","ddu",""
"38782","ddu",""
"38834","ddu",""
"38958","ddu",""
"38960","ddu",""
"39269","ddu",""
"39309","ddu",""
"39350","ddu",""
"39710","ddu",""
"39754","ddu",""
"39759","ddu",""
"43933","ddu",""
"44115","ddu",""
"44512","ddu",""
"44601","ddu",""
"44646","ddu",""
"44663","ddu",""
"45005","ddu",""
"45238","ddu",""
"45248","ddu",""
"46711","ddu",""
"47933","ddu",""
"48066","ddu",""
"48069","ddu",""
"48070","ddu",""
"48074","ddu",""
"48092","ddu",""
"48110","ddu",""
"48115","ddu",""
"48329","ddu",""
"48333","ddu",""
"48826","ddu",""
"49221","ddu",""
"49317","ddu",""
"49422","ddu",""
"49826","ddu",""
"49913","ddu",""
"49918","ddu",""
"50265","ddu",""
