"Column A Destination ZIP Codes","Column B Label Container To"
"	03045-03046","	GOFFSTOWN NH 03045"
"	03215, 03223, 03285","	CAMPTON NH 03223"
"	03218, 03225","	CTR BARNSTEAD NH 03225"
"	03220, 03237","	BELMONT NH 03220"
"	03224, 03276","	TILTON NH 03276"
"	03234, 03258","	EPSOM NH 03234"
"	03246-03247, 03249","	LACONIA NH 03246"
"	03255, 03272","	NEWBURY NH 03255"
"	03262, 03293","	NORTH WOODSTOCK NH 03262"
"	03431, 03446, 03455, 03465","	KEENE NH 03431"
"	03440, 03442, 03449","	ANTRIM NH 03440"
"	03445, 03457","	SULLIVAN NH 03445"
"	03456, 03464","	MARLOW NH 03456"
"	03604, 03608","	WALPOLE NH 03608"
"	03745-03746","	CORNISH FLAT NH 03746"
"	03766, 03784","	LEBANON NH 03766"
"	03773, 03782","	NEWPORT NH 03773"
"	03801, 03840","	PORTSMOUTH NH 03801"
"	03809-03810","	ALTON NH 03809"
"	03815, 03884","	STRAFFORD NH 03884"
"	03818, 03860","	CONWAY NH 03818"
"	03819, 03826, 03841","	HAMPSTEAD NH 03841"
"	03820-03821","	DOVER NH 03820"
"	03839, 03866-03868","	ROCHESTER NH 03867"
"	03842-03844","	HAMPTON NH 03842"
"	03851-03852, 03887","	MILTON NH 03851"
"	03856, 03885","	STRATHAM NH 03885"
"	03886, 03897","	TAMWORTH NH 03886"
"	03901, 03908","	SOUTH BERWICK ME 03908"
"	03904-03905","	KITTERY ME 03904"
"	04008, 04287","	BOWDOINHAM ME 04008"
"	04021, 04096-04097","	YARMOUTH ME 04096"
"	04038, 04084, 04093","	GORHAM ME 04038"
"	04049, 04085","	LIMINGTON ME 04049"
"	04073, 04083","	SANFORD ME 04073"
"	04122-04124","	PORTLAND ME 04122"
"	04210-04212, 04258","	AUBURN ME 04210"
"	04222, 04250, 04252, 04280","	LISBON ME 04250"
"	04224, 04275-04276, 04290","	RUMFORD ME 04276"
"	04239, 04253-04254","	LIVERMORE FALLS  ME 04254"
"	04259, 04265","	MONMOUTH  ME 04259"
"	04268, 04281","	NORWAY  ME 04268"
"	04330, 04332, 04336, 04338, 04347, 04351","	AUGUSTA ME 04330"
"	04344-04346","	GARDINER ME 04345"
"	04411, 04461, 04468, 04473","	OLD TOWN ME 04468"
"	04412, 04428-04429, 04474","	BREWER ME 04412"
"	04419, 04434","	CARMEL ME 04419"
"	04422, 04427","	CORINTH ME 04427"
"	04426, 04443, 04479, 04481","	DOVER FOXCROFT ME 04426"
"	04448, 04493","	WEST ENFIELD  ME 04493"
"	04453, 04463","	MILO ME 04463"
"	04490, 04492","	TOPSFIELD ME 04490"
"	04530, 04562, 04579","	BATH ME 04530"
"	04535, 04553","	NEWCASTLE ME 04553"
"	04554, 04558","	NEW HARBOR ME 04554"
"	04605, 04640","	ELLSWORTH ME 04605"
"	04627, 04681","	DEER ISLE  ME 04627"
"	04630, 04654","	MACHIAS ME 04654"
"	04741, 04743","	FORT KENT ME 04743"
"	04841, 04854, 04856, 04861","	ROCKLAND ME 04841"
"	04843, 04847","	CAMDEN ME 04843"
"	04848-04849","	LINCOLNVILLE ME 04849"
"	04901, 04903, 04937","	WATERVILLE ME 04901"
"	04911, 04950, 04958","	MADISON ME 04950"
"	05001, 05009","	WHITE RIVER JCT VT 05001"
"	05037, 05089","	WINDSOR VT 05089"
"	05040, 05076","	EAST CORINTH VT 05040"
"	05055, 05088","	WILDER VT 05088"
"	05060-05061","	RANDOLPH VT 05060"
"	05201, 05257, 05261-05262","	BENNINGTON VT 05201"
"	05250-05253, 05255","	MANCHESTER CTR VT 05255"
"	05301-05304","	BRATTLEBORO VT 05301"
"	05350, 05352","	READSBORO VT 05350"
"	05351, 05362","	WILLIAMSVILLE VT 05362"
"	05403, 05407","	SOUTH BURLINGTON VT 05403"
"	05439, 05446, 05449","	COLCHESTER VT 05446"
"	05442, 05492","	WATERVILLE VT 05492"
"	05445, 05482","	SHELBURNE VT 05482"
"	05451-05453","	ESSEX JUNCTION VT 05452"
"	05456, 05491","	VERGENNES VT 05491"
"	05478-05479","	SAINT ALBANS VT 05478"
"	05601-05604, 05609, 05620, 05633, 05667","	MONTPELIER VT 05602"
"	05657, 05661","	MORRISVILLE VT 05661"
"	05701-05702, 05759","	RUTLAND VT 05701"
"	05731, 05735, 05743, 05764","	FAIR HAVEN VT 05743"
"	05753, 05766","	MIDDLEBURY VT 05753"
"	05819, 05828","	SAINT JOHNSBURY VT 05819"
"	05822, 05839, 05875","	BARTON VT 05822"
"	05829-05830, 05855","	NEWPORT VT 05855"
"	05847, 05874","	LOWELL VT 05847"
"	05901, 05903","	CANAAN VT 05901"
"	06006, 06095","	WINDSOR CT 06095"
"	06010-06011","	BRISTOL CT 06010"
"	06013, 06085","	BURLINGTON CT 06013"
"	06018, 06024, 06031","	FALLS VILLAGE CT 06031"
"	06019-06020, 06022","	CANTON CT 06019"
"	06021, 06057-06058, 06063, 06094","	WINSTED CT 06021"
"	06023, 06037","	KENSINGTON CT 06037"
"	06026, 06078, 06080, 06093","	SUFFIELD CT 06078"
"	06029, 06066","	VERNON CT 06066"
"	06030, 06032, 06034","	FARMINGTON CT 06032"
"	06035, 06060","	GRANBY CT 06035"
"	06040, 06043, 06045","	MANCHESTER CT 06040"
"	06050, 06052","	NEW BRITAIN CT 06050"
"	06070, 06081","	SIMSBURY CT 06070"
"	06082-06083","	ENFIELD CT 06082"
"	06084, 06279","	TOLLAND CT 06084"
"	06089, 06092","	WEST SIMSBURY CT 06092"
"	06101-06102, 06123, 06141-06147, 06150-06156, 06160, 06176, 06180, 06183, 06199","	HARTFORD CT 06101"
"	06103, 06108","	HARTFORD CT 06108"
"	06109, 06114","	HARTFORD CT 06114"
"	06110, 06119, 06133","	W HARTFORD CT 06110"
"	06111, 06131","	NEWINGTON CT 06111"
"	06112, 06120, 06126","	HARTFORD CT 06120"
"	06118, 06138","	EAST HARTFORD CT 06118"
"	06226, 06245, 06264, 06266, 06280","	WILLIMANTIC CT 06226"
"	06232, 06248","	HEBRON CT 06248"
"	06234, 06247","	BROOKLYN CT 06234"
"	06238, 06250, 06268","	STORRS MANSFIELD CT 06268"
"	06239, 06241, 06243","	DANIELSON CT 06239"
"	06255, 06260","	PUTNAM CT 06260"
"	06281-06282","	WOODSTOCK CT 06281"
"	06334, 06336, 06360, 06365, 06389","	NORWICH CT 06360"
"	06335, 06338-06339","	LEDYARD CT 06339"
"	06370, 06382","	UNCASVILLE CT 06382"
"	06378-06379","	PAWCATUCK CT 06379"
"	06417, 06419","	DEEP RIVER CT 06417"
"	06450-06451","	MERIDEN CT 06450"
"	06478, 06483","	SEYMOUR CT 06483"
"	06487-06488","	SOUTHBURY CT 06488"
"	06524-06525","	NEW HAVEN CT 06524"
"	06601-06602, 06673, 06699","	BRIDGEPORT CT 06602"
"	06604, 06607-06608","	BRIDGEPORT CT 06604"
"	06606, 06610","	BRIDGEPORT  CT 06610"
"	06614-06615","	STRATFORD CT 06614"
"	06701-06702, 06706, 06708, 06720-06726","	WATERBURY CT 06701"
"	06703, 06705, 06716","	WATERBURY CT 06705"
"	06704, 06710","	WATERBURY CT 06704"
"	06824-06825, 06828","	FAIRFIELD CT 06824"
"	06850, 06853","	NORWALK CT 06850"
"	06854-06855","	NORWALK CT 06854"
"	07004, 07006-07007","	WEST CALDWELL NJ 07006"
"	07011-07015","	CLIFTON NJ 07015"
"	07017-07019","	EAST ORANGE NJ 07019"
"	07060-07061, 07069","	PLAINFIELD NJ 07060"
"	07065-07067","	RAHWAY NJ 07065"
"	07090-07091","	WESTFIELD NJ 07090"
"	07112, 07114","	NEWARK NJ 07114"
"	07450-07451","	RIDGEWOOD NJ 07450"
"	07470, 07474","	WAYNE NJ 07470"
"	07501, 07522","	PATERSON NJ 07501"
"	07502, 07511-07512","	PATERSON NJ 07502"
"	07503, 07513","	PATERSON NJ 07503"
"	07504, 07514, 07524","	PATERSON  NJ 07504"
"	07505, 07509, 07533, 07543-07544","	PATERSON NJ 07505"
"	07506-07507","	PATERSON NJ 07506"
"	07508, 07538","	PATERSON NJ 07508"
"	07631-07632","	ENGLEWOOD CLIFFS NJ 07632"
"	07652-07653","	PARAMUS NJ 07652"
"	07701-07704","	RED BANK NJ 07701"
"	07715, 07719","	BELMAR NJ 07719"
"	07753-07754","	NEPTUNE NJ 07753"
"	07801-07803, 07806, 07869","	DOVER NJ 07801"
"	07822, 07826-07827, 07851, 07890","	BRANCHVILLE NJ 07826"
"	07866, 07885","	DOVER NJ 07866"
"	07901-07902, 07974","	SUMMIT NJ 07901"
"	07960-07963, 07981","	MORRISTOWN NJ 07960"
"	08002, 08034","	CHERRY HILL NJ 08034"
"	08030-08031","	BELLMAWR NJ 08031"
"	08096-08097","	DEPTFORD NJ 08096"
"	08102-08103","	CAMDEN NJ 08102"
"	08106-08107","	AUDUBON NJ 08106"
"	08201, 08205","	ABSECON NJ 08201"
"	08232, 08234","	PLEASANTVILLE NJ 08232"
"	08326, 08328, 08341, 08346","	LANDISVILLE NJ 08326"
"	08360-08362","	VINELAND NJ 08360"
"	08540-08541, 08543-08544","	PRINCETON NJ 08540"
"	08601-08607","	TRENTON NJ 08601"
"	08608-08609","	TRENTON NJ 08608"
"	08640-08641","	TRENTON NJ 08640"
"	08733, 08759","	LAKEHURST NJ 08733"
"	08751-08752","	SEASIDE HEIGHTS NJ 08751"
"	08754-08756","	TOMS RIVER NJ 08755"
"	08817-08818","	EDISON NJ 08817"
"	08834, 08848","	MILFORD NJ 08848"
"	08854-08855","	PISCATAWAY NJ 08854"
"	08861-08862","	PERTH AMBOY NJ 08861"
"	08871-08872","	SAYREVILLE NJ 08872"
"	08873, 08875, 08890","	SOMERSET NJ 08873"
"	10001, 10087, 10116, 10118-10123","	NEW YORK NY 10001"
"	10004, 10041, 10274","	NEW YORK NY 10004"
"	10005, 10043, 10045, 10271","	NEW YORK NY 10005"
"	10006, 10280","	NEW YORK NY 10006"
"	10007-10008, 10080, 10203, 10249, 10258, 10261, 10278-10279, 10281-10282","	NEW YORK NY 10007"
"	10010, 10159","	NEW YORK NY 10010"
"	10016, 10158","	NEW YORK NY 10016"
"	10017, 10164-10179","	NEW YORK NY 10017"
"	10019, 10101, 10103-10107","	NEW YORK NY 10019"
"	10020, 10111-10112","	NEW YORK NY 10020"
"	10021, 10131, 10162","	NEW YORK NY 10021"
"	10022, 10055, 10126, 10150-10155","	NEW YORK NY 10022"
"	10023, 10069","	NEW YORK NY 10023"
"	10024, 10132","	NEW YORK NY 10024"
"	10025, 10125","	NEW YORK NY 10025"
"	10027, 10115","	NEW YORK NY 10027"
"	10036, 10108-10110","	NEW YORK NY 10036"
"	10038, 10272","	NEW YORK NY 10038"
"	10311, 10313-10314","	STATEN ISLAND NY 10314"
"	10505, 10598","	YORKTOWN NY 10598"
"	10514, 10546","	CHAPPAQUA NY 10514"
"	10518, 10590, 10597","	SOUTH SALEM ANNEX NY 10590"
"	10520-10521","	CROTON ON HUDSON NY 10520"
"	10537, 10588","	SHRUB OAK NY 10588"
"	10566-10567","	PEEKSKILL NY 10566"
"	10578, 10589","	SOMERS NY 10589"
"	10707, 10709","	TUCKAHOE NY 10707"
"	10910, 10975","	SOUTHFIELDS NY 10975"
"	10912, 10925, 10979","	GREENWOOD LAKE NY 10925"
"	10919, 10985","	CIRCLEVILLE NY 10919"
"	10968, 10983","	TAPPAN NY 10983"
"	10974, 10987","	SLOATSBURG NY 10974"
"	11001-11002, 11004-11005","	FLORAL PARK NY 11001"
"	11020-11022","	GREAT NECK NY 11021"
